Unnamed: 0,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
0,Porsche, 911 992 Carrera S Coupe 2dr PDK 8sp 3.0TT [MY21],,2020.0,,,,,,
1,BMW, i8 I12 LCI Coupe 2dr Auto 6sp AWD 1.5T/105kW Hybrid,,2019.0,,,,,,
2,Land Rover, Defender 90 Adventure Wagon 3dr Man 6sp 4x4 2.2DT [MY16],10999000.0,2015.0,,,,,,
3,Porsche, 911 997 Series II Carrera Cabriolet 2dr PDK 7sp 3.6i [MY09],,2009.0,,,,,,
4,Porsche, Cayenne 9YB Turbo Coupe 5dr Tiptronic 8sp 4x4 4.0TT [MY20],,2020.0,,,,,,
5,Mercedes-Benz, C-Class C205 C63 AMG S Coupe 2dr SPEEDSHIFT MCT 9sp 4.0TT,,2019.0,,,,,,
6,Maserati, Levante M161 Luxury Wagon 5dr Spts Auto 8sp Q4 3.0DT [MY17],10999000.0,2017.0,,,,,,
7,BMW, M4 F82 LCI Competition Coupe 2dr M-DCT 7sp 3.0TT,11999000.0,2019.0,,,,,,
8,Ferrari, 348 sp Convertible 2dr Man 5sp 3.4i,21999000.0,2004.0,,,,,,
9,Porsche, Cayenne 9YA Wagon 5dr Tiptronic 8sp 4x4 3.0T [MY20],13999000.0,2019.0,,,,,,
10,Porsche, Cayenne 9YA Turbo Wagon 5dr Tiptronic 8sp 4x4 4.0TT [MY19],,2018.0,,,,,,
11,Mercedes-Benz, GLC-Class X253 GLC63 AMG S Wagon 5dr SPEEDSHIFT MCT 9sp 4MATIC+ 4.0TT,14499000.0,2019.0,,,,,,
12,Lexus," LC URZ100R LC500 Coupe 2dr Spts Auto 10sp, 5.0i [Mar]",,2017.0,,,,,,
13,BMW, X5 G05 xDrive30d M Sport Wagon 5dr Steptronic 8sp 4x4 3.0DT [Jul],10999000.0,2019.0,,,,,,
14,BMW, 7 Series G12 750Li Sedan 4dr Steptronic 8sp 4.4TT,11999000.0,2016.0,,,,,,
15,Tesla, Model S 85 Sportback 5dr Reduction Gear 1sp AC270kW [Jun],6999000.0,2014.0,,,,,,
16,Mercedes-Benz, C-Class W205 C63 AMG S Sedan 4dr SPEEDSHIFT MCT 7sp 4.0TT [Jun],10499000.0,2017.0,,,,,,
17,Lamborghini, Gallardo L140 LP550-2 Coupe 2dr E-Gear 6sp 5.2i,24999000.0,2012.0,,,,,,
18,Mercedes-Benz, S-Class W223 S450 Sedan 4dr 9G-TRONIC 9sp 4MATIC 3.0TeC/16kW,26999000.0,2021.0,,,,,,
19,Porsche, Macan 95B GTS Wagon 5dr PDK 7sp AWD 3.0TT [MY18],10999000.0,2017.0,,,,,,
20,Mercedes-Benz, C-Class W205 C63 AMG S Sedan 4dr SPEEDSHIFT MCT 9sp 4.0TT [Jun],15999000.0,2019.0,,,,,,
21,BMW, i8 I12 Coupe 2dr Auto 6sp AWD 1.5T/96kW Hybrid [Nov],17999000.0,2014.0,,,,,,
22,HARLEY DAVIDSON, FLHTCU ULTRA CLASSIC,2499000.0,2012.0,,,,,,
23,McLaren, 600LT P13 Coupe 2dr SSG 7sp 3.8TT [MY19],46599000.0,2019.0,,,,,,
24,Mazda, RX-8 FE Series 2 Luxury Coupe 4dr Spts Auto 6sp 13Bi Rotary (Sat Nav) [Jul],4999000.0,2008.0,,,,,,
25,Mercedes-Benz, G-Class W463 G63 AMG Wagon 5dr SPEEDSHIFT 9sp 4MATIC 4.0TT [Jun],30999000.0,2018.0,,,,,,
26,Ferrari, 612 Scaglietti F137 Coupe 2dr Seq. Mac 6sp 5.7i,37499000.0,2009.0,,,,,,
27,Ferrari, 612 Scaglietti F137 Coupe 2dr Seq. Mac 6sp 5.7i,19999000.0,2006.0,,,,,,
28,Bentley, Continental 3S GT Coupe 2dr DCT 8sp 4x4 6.0TT [MY19],41999000.0,2019.0,,,,,,
29,McLaren, GT MA3 Coupe 2dr SSG 7sp 4.0TT [MY20],39999000.0,2020.0,,,,,,
30,Ferrari, 599 Fiorano GTB Coupe 2dr Seq. Mac 6sp 6.0i [Jul],26999000.0,2006.0,,,,,,
31,Ferrari, 488 Pista Spider F142 Convertible 2dr DCT 7sp 3.9TT [Jun],99099000.0,2019.0,,,,,,
32,Ferrari, 458 Speciale F142 Coupe 2dr DCT 7sp 4.5i,69999000.0,2015.0,,,,,,
33,Land Rover, Range Rover L405 SDV8 Vogue SE Wagon 5dr Spts Auto 8sp 4x4 4.4DTT [MY19],18999000.0,2018.0,,,,,,
34,Porsche, Panamera 971 Turbo S E-Hybrid Sedan 4dr PDK 8sp AWD 4.0TT/100kW Hybrid [MY18],29999000.0,2017.0,,,,,,
35,Porsche, 911 996 GT2 Coupe 2dr Man 6sp 3.6TT [MY03],26999000.0,2004.0,,,,,,
36,Ferrari, F430 F136 Scuderia Coupe 2dr Seq. Mac 6sp 4.3i,54999000.0,2008.0,,,,,,
37,McLaren, 675LT Coupe 2dr SSG 7sp 3.8TT [Jul],49999000.0,2015.0,,,,,,
38,Porsche, Carrera GT,,2005.0,,,,,,
39,Ferrari, Enzo,,2004.0,,,,,,
40,Maserati, MC12,,2005.0,,,,,,
41,McLaren, 650S Spider 2dr SSG 7sp 3.8TT [MY15],27999000.0,2014.0,,,,,,
42,,Austin Healey 3000 Mk III Convertible 2dr Man O/Drv 4sp 3000,10999000.0,1967.0,,,,,,
43,Ferrari, 330 GT 2+2 Coupe 2dr Man 5sp 4.0,,1964.0,,,,,,
44,Ferrari, Testarossa Monospecchio,47999000.0,1986.0,,,,,,
45,,Cooper BRM F2,,,,,,,,
46,Ferrari, 328 GTS Coupe 2dr Man 5sp 3.2i,22999000.0,1987.0,,,,,,
47,Ferrari, F355 Spider Convertible 2dr Man 6sp 3.5i,29999000.0,1997.0,,,,,,
48,Mercedes-Benz, 190SL R121 Roadster 2dr Man 4sp 1.9,31999000.0,1960.0,,,,,,
49,Mercedes-Benz, 280SL Pagoda,,1970.0,,,,,,
50,,Jaguar E-Type 4.2 F H Coupe,,1964.0,,,,,,
51,Porsche, 356SC Coupe 2dr Man 4sp 1600,35999000.0,1964.0,,,,,,
52,Lamborghini, Miura P400 S,,1969.0,,,,,,
53,Porsche,959,219999000.0,1987.0,,,,,,
0,AC, COBRA,70000.0,1995.0,Automatic,Used,Soft Top,Premium Unleaded,4900.0,
1,SUBARU, LIBERTY Gt,20000.0,1997.0,Manual,Used,Sedan,Unleaded,2000.0,
2,TOYOTA, CAMRY,11500.0,2016.0,Automatic,Used,Sedan,,,V6
3,FORD, CORTINA TC 2 Door,57995.0,1972.0,Manual,Used,Hardtop - Coupe,Unleaded,1600.0,
4,FORD, FALCON XF,15000.0,1985.0,Automatic,Used,Wagon,Unleaded,4100.0,
5,FORD, MUSTANG,45000.0,1973.0,Automatic,Used,Soft Top,Unleaded,,
6,FORD, RANCHERO GT,24000.0,1971.0,Automatic,Used,Ute,,,
7,HSV, GTSR 2,210000.0,2017.0,Automatic,Used,Sedan,Premium Unleaded,6162.0,435
8,IVECO, DAILY,41990.0,2017.0,Automatic,Used,Van,Diesel,0.0,
9,FORD, FAIRLANE SKYLINER,85000.0,1957.0,,Used,Convertible,Unleaded,312.0,245
10,SHELBY, GT500 GT500KR,165000.0,2008.0,Manual Overdrive,Used,Fastback,Premium Unleaded,5400.0,403
11,FORD, 150 Harley Davidson Anniversary,55500.0,2003.0,Automatic,Used,Ute,Premium Unleaded,329.0,283
12,MAZDA, RX7 3,75000.0,1983.0,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
13,CHEVROLET, BELAIR,75000.0,1956.0,Automatic,Used,Sedan,Leaded Petrol,,
14,PONTIAC, GTO,110000.0,1967.0,Manual,Used,Hardtop - Coupe,,,
15,NISSAN, 300ZX Fairlady Z,55000.0,1994.0,Manual,Used,Targa,Unleaded,6.0,215
16,SUBARU, LIBERTY Gt,20000.0,1997.0,Manual,Used,Sedan,Unleaded,2000.0,
17,HSV, GTS Gen F2,124995.0,2015.0,Automatic,Used,Sedan,Premium Unleaded,,
18,MORRIS, MINI DELUXE,25000.0,1968.0,Manual,Used,Sedan,Leaded Petrol,998.0,
19,JAGUAR, E-TYPE II,169000.0,1969.0,Automatic,Used,Fastback,Premium Unleaded,,
20,OLDSMOBILE, F36,30000.0,1936.0,Manual,Used,Sedan,Premium Unleaded,3500.0,70
21,MERCEDES-BENZ, CLK55 AMG,35999.0,2000.0,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,5.4L
22,CHEVROLET, CAMARO,88000.0,1968.0,Automatic,Used,Convertible,Unleaded,,
23,CHRYSLER, LEBARON Medallion,37000.0,1978.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,225.0,67kw
24,LOTUS, 61,65000.0,1969.0,,Used,Open Wheeler,,,
25,MERCEDES-BENZ, 300CE,22000.0,,Automatic,Used,Hardtop - Coupe,,,
26,DODGE, DART,39000.0,1973.0,Automatic,Used,Hardtop - Coupe,,5896.0,
27,MERCEDES-BENZ, E270 CDI,16999.0,,Sequential Manual Auto,Used,Sedan,Diesel,2700.0,
28,FORD, ROADSTER,40000.0,,Automatic,Used,Roadster,Unleaded,,
29,FORD, F SERIES F250 custom xlt,57500.0,1976.0,Automatic,Used,Style Side,Premium Unleaded,7800.0,350
30,HOLDEN, HR,40500.0,1966.0,Manual,Used,Ute,Premium Unleaded,,186
31,PONTIAC, GTO,110000.0,1967.0,Manual,Used,Hardtop - Coupe,,,
32,KOPELKE KITCARS, GT40,24000.0,,,New,Hardtop - Coupe,,,
33,CHEVROLET, BEL AIR,95000.0,1955.0,,Used,Hardtop - Coupe,Premium Unleaded,350.0,290
34,MERCEDES-BENZ, 300SEL W109,52000.0,1970.0,Automatic,Used,Sedan,Premium Unleaded,3475.0,156
35,HSV, CLUBSPORT R8 30th Anniversary Tourer,154500.0,2017.0,Automatic,Used,Wagon,Premium Unleaded,,
36,MERCEDES-AMG, C63 S C,114988.0,2017.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
